country_code,country_name,average_rating
ro,Roumanie,4.5
hr,Croatie,4.4
ar,Argentine,4.321428571428571
cl,Chili,4.12
pt,Portugal,3.9322580645161294
md,Moldavie,3.8714285714285714
us,États-Unis,3.6982142857142857
za,Afrique du Sud,3.65625
it,Italie,3.6302660753880267
es,Espagne,3.3809160305343515
hu,Hongrie,3.1714285714285717
fr,France,3.0650485436893207
au,Australie,2.8312500000000003
gr,Grèce,2.3
ch,Suisse,2.2
de,Allemagne,1.6958333333333335
il,Israël,0.0
