country_code,country_name,average_rating
de,Allemagne,4.5
il,Israël,4.5
us,États-Unis,4.4905405405405405
md,Moldavie,4.4799999999999995
hu,Hongrie,4.472727272727273
za,Afrique du Sud,4.45909090909091
au,Australie,4.458333333333333
fr,France,4.447129909365559
es,Espagne,4.443617021276595
pt,Portugal,4.435714285714286
cl,Chili,4.43125
it,Italie,4.430026109660575
ar,Argentine,4.417391304347826
gr,Grèce,4.4
ro,Roumanie,4.4
ch,Suisse,4.35
hr,Croatie,4.3
