country_name,total_wine,rating_averages,rating_count
Italie,383,4.430026109660575,2135839
France,331,4.447129909365559,2124809
Espagne,94,4.443617021276595,746710
États-Unis,74,4.4905405405405405,834263
Portugal,28,4.435714285714286,62454
Argentine,23,4.417391304347826,283673
Afrique du Sud,22,4.45909090909091,59995
Chili,16,4.43125,159256
Allemagne,14,4.5,8257
Australie,12,4.458333333333333,52138
