wine_id,wine_name,wine_url,keywords,total_user_count
66284,Cabernet Sauvignon,https://www.wereldwijnonline.be/caymus-cabernet-sauvignon-napa-usa-rode-141629936.html,coffee,346
79836,La Grande Dame Brut Champagne,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=40VCGD08MC,citrus,326
1164702,R.D Extra Brut Champagne (Récemment Dégorgé),https://www.seulementproduitsitaliens.be/eccellenze_internazionali/bollinger/12495-bollinger-rd-extra-brut-champagne-(recemment-degorge)-.html?codice=MRG596-2008,toast,326
3102815,P2 Plénitude Brut Champagne,http://www.vivino.com/wines/162494158,toast,322
1441099,Blanc des Millénaires,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/charles-heidsieck/11470-charles-heidsieck-blanc-des-millenaires-blanc-de-blancs-.html?codice=PHL112,toast,320
1697,Chardonnay,https://www.grandcruwijnen.nl/2019-chateau-montelena-chardonnay,cream,318
79835,Cuvée Nicolas François Billecart Brut Champagne,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=1700643,toast,318
1148298,Brut Rosé Champagne,https://www.topwijnen.be/nl/product/wijnen/frankrijk/champagne/montagne-de-reims/reims/wn8003801/wn8003801,toast,316
79762,Pauillac (Grand Cru Classé),https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/medoc/pauillac/chateau-pichon-longueville-baron/wn1013814/wn1013814,coffee,314
1125543,Pauillac (Grand Cru Classé),https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/medoc/pauillac/chateau-pichon-comtesse-de-lalande/wn1013958/wn1013958,coffee,308
22685,Saint-Julien (Grand Cru Classé),https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/medoc/saint-julien/chateau-leoville-barton/wn1011444/wn1011444,coffee,306
7122486,Grande Cuvée,http://www.vivino.com/wines/164942599,green apple,304
74304,Cristal Brut Champagne (Millésimé),https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=40CRBI00B,green apple,298
1911534,Opus One,http://www.vivino.com/wines/159338935,coffee,298
1238419,Grand Siècle Champagne (Grande Cuvée),https://www.seulementproduitsitaliens.be/eccellenze_internazionali/laurent-perrier-/11518-laurent-perrier--grand-siecle-champagne-(grande-cuvee).html?codice=LPR003,citrus,296
79262,Pauillac (Grand Cru Classé),http://www.vivino.com/wines/156108219,coffee,294
86684,Brut Champagne,http://www.vivino.com/wines/3443678,coffee,290
1692390,Sir Winston Churchill Brut Champagne,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=40POWI08B,cream,290
11890,60 Sessantanni Old Vines Primitivo di Manduria,https://www.wijnig.nl/san-marzano-60-sessantanni-old-vines-pri-142454080.html,coffee,272
1688,Castello della Sala Cervaro della Sala,https://www.seulementproduitsitaliens.be/vino/antinori-tenuta-castello-della-sala/143-antinori-castello-della-sala-cervaro-della-sala.html?codice=ANT009-2021,cream,268
1136930,Grange,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEW=80PEPE17B,coffee,258
1152755,Pessac-Léognan (Premier Grand Cru Classé),https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=60HAU13B,coffee,258
82779,Corton-Charlemagne Grand Cru,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=50BMCC14B,citrus,254
